Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,7,2,9.76
1.4,8,1,9.89
1.4,9,2,9.69
1.4,12,4,8.78
1.4,13,4,8.68
1.4,14,1,9.8
1.4,15,3,9.06
1.7,7,6,9.19
1.7,12,1,9.96
1.7,14,5,9.08
2,6,4,9.91
2,10,9,5
2,14,1,9.99
2,15,1,9.99
2.3,10,1,9.99
2.3,15,7,8.77
2.6,8,1,9.99
2.6,15,8,7.78
1.4,6,10,6
1.4,10,10,10
1.4,11,10,11
1.7,5,10,5
1.7,6,10,6
1.7,8,10,8
1.7,9,10,9
1.7,10,10,10
1.7,11,10,11
1.7,13,10,13
1.7,15,10,15
2,5,10,5
2,7,10,7
2,8,10,8
2,9,10,9
2,11,10,11
2,12,10,12
2,13,10,13
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,11,10,11
2.3,12,10,12
2.3,13,10,13
2.3,14,10,14
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
