Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,8,1,9.89
1.4,10,1,9.86
1.4,11,3,9.31
1.4,12,1,9.83
1.4,13,4,8.68
1.4,14,8,3.1
1.4,15,1,9.79
1.7,11,9,3.55
1.7,13,9,2.38
1.7,14,9,1.79
1.7,15,9,1.21
2,9,7,8.88
2,12,1,9.99
2,13,1,9.99
2,14,9,3.01
2.3,8,1,9.99
1.4,5,10,5
1.4,6,10,6
1.4,7,10,7
1.4,9,10,9
1.7,5,10,5
1.7,6,10,6
1.7,7,10,7
1.7,8,10,8
1.7,9,10,9
1.7,10,10,10
1.7,12,10,12
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,10,10,10
2,11,10,11
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.3,13,10,13
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
