Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,1,9.91
1.4,9,4,9.08
1.4,10,1,9.86
1.4,11,10,11
1.4,12,2,9.59
1.4,13,1,9.81
1.4,15,6,6.49
1.7,6,1,9.98
1.7,8,6,9.08
1.7,10,1,9.97
1.7,12,1,9.96
1.7,13,1,9.95
1.7,14,1,9.95
1.7,15,1,9.95
2,6,1,9.99
2,7,1,9.99
2,8,1,9.99
2,9,1,9.99
2,10,1,9.99
2,11,3,9.92
2,13,1,9.99
2,14,3,9.9
2,15,1,9.99
2.3,5,1,9.99
2.3,7,1,9.99
2.3,8,1,9.99
2.3,9,1,9.99
2.3,10,1,9.99
2.3,12,1,9.99
2.3,14,1,9.99
2.6,5,1,9.99
2.6,6,1,9.99
2.6,7,1,9.99
2.6,9,1,9.99
2.6,10,1,9.99
2.6,11,1,9.99
2.6,12,1,9.99
2.6,13,1,9.99
2.6,14,9,4.62
2.6,15,1,9.99
1.4,5,10,5
1.4,7,10,7
1.4,8,10,8
1.4,14,10,14
1.7,5,10,5
1.7,7,10,7
1.7,9,10,9
1.7,11,10,11
2,5,10,5
2,12,10,12
2.3,6,10,6
2.3,11,10,11
2.3,13,10,13
2.3,15,10,15
2.6,8,10,8
